"","Número.d.expedient","Codi.districte","Nom.districte","Codi.barri","Nom.barri","Codi.carrer","Nom.carrer","Num.postal.caption","Descripció.dia.setmana","Dia.setmana","Descripció.tipus.dia","NK.Any","Mes.de.any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"3","2015S009751",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",224802,"Nació","0030 0030","Dimarts","Dm","Laboral",2015,12,"Desembre",22,2,"No és causa del  vianant","Motocicleta","Home","Conductor","49","Ferit lleu",4585145.1,431990.72
"4","2015S002580",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0216 0216","Dimarts","Dm","Laboral",2015,4,"Abril",7,5,"Creuar per fora pas de vianants","Motocicleta","Home","Vianant","13","Ferit lleu",4585448,431799.95
"5","2015S008919",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",95506,"Conca","0028 0028","Dimecres","Dc","Laboral",2015,11,"Novembre",25,2,"No és causa del  vianant","Motocicleta","Home","Conductor","49","Ferit lleu",4585215.2,431576.37
"6","2015S002024",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0001 0003","Dimarts","Dm","Laboral",2015,3,"Març",17,12,"Desobeir el senyal del semàfor","Ciclomotor","Dona","Vianant","68","Ferit lleu",4585174.3,431648.74
"7","2015S000787",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0005 0005","Diumenge","Dg","Laboral",2015,2,"Febrer",1,4,"No és causa del  vianant","Motocicleta","Home","Passatger","33","Ferit lleu",4585194.82,431644.1
"8","2015S001125",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0023 0023","Divendres","Dv","Laboral",2015,2,"Febrer",20,5,"No és causa del  vianant","Turismo","Dona","Conductor","37","Ferit lleu",4585270.45,431626.67
"9","2015S007294",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0255X0255X","Dimarts","Dm","Laboral",2015,9,"Setembre",29,2,"Altres","Motocicleta","Home","Conductor","49","Ferit lleu",4585204.89,431517.12
"10","2015S002616",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0350 0350","Dimecres","Dc","Laboral",2015,4,"Abril",8,10,"No és causa del  vianant","Motocicleta","Home","Conductor","23","Ferit lleu",4585407.65,431582.74
"11","2015S008758",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0048 0050","Dijous","Dj","Laboral",2015,11,"Novembre",19,7,"No és causa del  vianant","Motocicleta","Home","Conductor","31","Ferit lleu",4585416.36,431629.04
"12","2015S001866",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0352 0354","Dimecres","Dc","Laboral",2015,3,"Març",11,8,"No és causa del  vianant","Motocicleta","Home","Conductor","31","Ferit lleu",4585458.06,431634.78
