"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"3",10,64,224802,"0030 0030","Dimarts",2015,"Desembre",22,2,"No és causa del  vianant","Motocicleta","Home","Conductor",49,"Ferit lleu",4585145.1,431990.72
"4",10,64,134801,"0216 0216","Dimarts",2015,"Abril",7,5,"Creuar per fora pas de vianants","Motocicleta","Home","Vianant",13,"Ferit lleu",4585448,431799.95
"5",10,64,95506,"0028 0028","Dimecres",2015,"Novembre",25,2,"No és causa del  vianant","Motocicleta","Home","Conductor",49,"Ferit lleu",4585215.2,431576.37
"6",10,64,194406,"0001 0003","Dimarts",2015,"Març",17,12,"Desobeir el senyal del semàfor","Ciclomotor","Dona","Vianant",68,"Ferit lleu",4585174.3,431648.74
"7",10,64,194406,"0005 0005","Diumenge",2015,"Febrer",1,4,"No és causa del  vianant","Motocicleta","Home","Passatger",33,"Ferit lleu",4585194.82,431644.1
"8",10,64,194406,"0023 0023","Divendres",2015,"Febrer",20,5,"No és causa del  vianant","Turismo","Dona","Conductor",37,"Ferit lleu",4585270.45,431626.67
"9",10,64,161407,"0255X0255X","Dimarts",2015,"Setembre",29,2,"Altres","Motocicleta","Home","Conductor",49,"Ferit lleu",4585204.89,431517.12
"10",10,64,297001,"0350 0350","Dimecres",2015,"Abril",8,10,"No és causa del  vianant","Motocicleta","Home","Conductor",23,"Ferit lleu",4585407.65,431582.74
"11",10,64,194406,"0048 0050","Dijous",2015,"Novembre",19,7,"No és causa del  vianant","Motocicleta","Home","Conductor",31,"Ferit lleu",4585416.36,431629.04
"12",10,64,297001,"0352 0354","Dimecres",2015,"Març",11,8,"No és causa del  vianant","Motocicleta","Home","Conductor",31,"Ferit lleu",4585458.06,431634.78
"13",10,64,297001,"0270 0270","Dimecres",2015,"Març",4,7,"No és causa del  vianant","Ciclomotor","Dona","Conductor",26,"Ferit lleu",4585103.11,431274.19
"14",10,64,161407,"0252 0252","Dimecres",2015,"Setembre",23,12,"No és causa del  vianant","Motocicleta","Home","Conductor",19,"Ferit lleu",4585099.12,431447.19
"15",10,64,161101,"0357 0357","Dimecres",2015,"Març",4,10,"No és causa del  vianant","Autobús","Home","Passatger",80,"Ferit lleu",4584908.45,431479.52
"16",10,64,289105,"0537 0537","Dimecres",2015,"Gener",7,10,"No és causa del  vianant","Motocicleta","Home","Conductor",32,"Ferit lleu",4584859.12,431564.42
"17",10,64,191204,"0537 0537","Divendres",2015,"Setembre",18,9,"No és causa del  vianant","Ciclomotor","Dona","Conductor",41,"Ferit lleu",4584735.1,431823
"18",10,64,191204,"0556 0556","Divendres",2015,"Juny",26,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",22,"Ferit lleu",4584713.56,431832.66
"19",10,64,286300,"0051 0051","Dimarts",2015,"Gener",27,11,"No és causa del  vianant","Bicicleta","Home","Conductor",18,"Ferit lleu",4584826.12,431819.65
