"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"6",10,64,194406,"0001 0003","Dimarts",2015,"Març",17,12,"Desobeir el senyal del semàfor","Ciclomotor","Dona","Vianant",68,"Ferit lleu",4585174.3,431648.74
"8",10,64,194406,"0023 0023","Divendres",2015,"Febrer",20,5,"No és causa del  vianant","Turismo","Dona","Conductor",37,"Ferit lleu",4585270.45,431626.67
"13",10,64,297001,"0270 0270","Dimecres",2015,"Març",4,7,"No és causa del  vianant","Ciclomotor","Dona","Conductor",26,"Ferit lleu",4585103.11,431274.19
"17",10,64,191204,"0537 0537","Divendres",2015,"Setembre",18,9,"No és causa del  vianant","Ciclomotor","Dona","Conductor",41,"Ferit lleu",4584735.1,431823
"18",10,64,191204,"0556 0556","Divendres",2015,"Juny",26,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",22,"Ferit lleu",4584713.56,431832.66
"21",10,64,350308,"0615 0615","Dimecres",2015,"Març",18,12,"No és causa del  vianant","Taxi","Dona","Passatger",62,"Ferit lleu",4584790.88,432069.78
"24",10,65,169409,"0863 0865","Divendres",2015,"Gener",23,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",43,"Ferit lleu",4584493.43,432532.02
"28",10,65,81603,"0165 0165","Dimecres",2015,"Desembre",30,1,"No és causa del  vianant","Motocicleta","Dona","Conductor",49,"Ferit lleu",4585136.41,432399.82
"30",10,65,350308,"0640 0644","Dissabte",2015,"Maig",9,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",22,"Ferit lleu",4584952.81,432266.66
"34",10,65,209900,"0182 0182","Dijous",2015,"Juny",11,8,"No és causa del  vianant","Bicicleta","Dona","Conductor",24,"Ferit lleu",4585079.98,432163.47
"39",10,65,18505,"0659X0659X","Diumenge",2015,"Novembre",29,1,"No és causa del  vianant","Motocicleta","Dona","Passatger",32,"Ferit lleu",4585056.86,432493
"40",10,65,18505,"0661U0661U","Dimecres",2015,"Abril",8,12,"No és causa del  vianant","Furgoneta","Dona","Vianant",89,"Ferit lleu",4585093.19,432551.03
"41",10,72,30409,"0172 0174","Dissabte",2015,"Abril",4,7,"No és causa del  vianant","Turismo","Dona","Vianant",63,"Ferit lleu",4585063.5,433041.1
"44",10,72,30409,"0175 0175","Dimarts",2015,"Setembre",15,5,"No és causa del  vianant","Turismo","Dona","Passatger",60,"Ferit lleu",4585128.37,432937.09
"45",10,72,30409,"0185 0185","Dijous",2015,"Maig",28,4,"No és causa del  vianant","Turismo","Dona","Passatger",65,"Ferit lleu",4585168.63,432892.77
"46",10,72,169409,"0963 0963","Dissabte",2015,"Gener",3,8,"No és causa del  vianant","Turismo","Dona","Passatger",18,"Ferit lleu",4584961.31,432952.21
"48",10,65,18505,"0560 0560","Dimarts",2015,"Març",17,11,"No és causa del  vianant","Ciclomotor","Dona","Conductor",27,"Ferit lleu",4584467.51,431964.93
"50",10,72,268604,"0007 0009","Divendres",2015,"Gener",16,2,"Creuar per fora pas de vianants","Motocicleta","Dona","Conductor",17,"Ferit lleu",4586091.77,433046.65
"51",10,65,89004,"0611 0611","Divendres",2015,"Maig",8,1,"No és causa del  vianant","Motocicleta","Dona","Conductor",32,"Ferit lleu",4584356.67,432002.87
"58",10,65,169409,"0823 0823","Dilluns",2015,"Maig",4,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",40,"Ferit lleu",4584197.87,432229.7
"60",10,65,1604,"0019 0021","Divendres",2015,"Juny",19,2,"No és causa del  vianant","Ciclomotor","Dona","Conductor",21,"Ferit lleu",4584600.32,432165.69
"62",10,72,153205,"0024 0028","Dijous",2015,"Abril",30,7,"No és causa del  vianant","Autobús","Dona","Passatger",59,"Ferit lleu",4585237.91,432763.93
"69",10,73,153205,"0134 0136","Dimecres",2015,"Octubre",7,12,"No és causa del  vianant","Ciclomotor","Dona","Conductor",38,"Ferit lleu",4585995.06,433538.48
"71",10,73,318906,"0063 0063","Dilluns",2015,"Maig",25,7,"No és causa del  vianant","Turismo","Dona","Conductor",49,"Ferit lleu",4586875.02,433490.77
"75",10,73,69700,"0079 0079","Divendres",2015,"Febrer",6,4,"No és causa del  vianant","Motocicleta","Dona","Conductor",27,"Ferit lleu",4586402.57,433562.27
"76",10,73,153205,"0149 0149","Diumenge",2015,"Abril",26,2,"Desobeir el senyal del semàfor","Motocicleta","Dona","Passatger",34,"Ferit lleu",4586231.17,433719.9
"78",10,70,701414,"020840000","Dimecres",2015,"Setembre",2,11,"No és causa del  vianant","Furgoneta","Dona","Passatger",31,"Ferit lleu",4585877.1,434007.45
"81",10,71,242906,"0373 0373","Dimarts",2015,"Juny",9,4,"No és causa del  vianant","Turismo","Dona","Vianant",57,"Ferit lleu",4584676.38,433893.73
"88",10,71,701414,"020750000","Dimecres",2015,"Desembre",2,12,"No és causa del  vianant","Turismo","Dona","Conductor",52,"Ferit lleu",4585249.15,433366.47
"91",10,71,253902,"0186 0186","Divendres",2015,"Març",27,1,"No és causa del  vianant","Turismo","Dona","Conductor",63,"Ferit lleu",4585066.43,433383.18
"95",10,71,115603,"0202 0206","Dimecres",2015,"Setembre",2,7,"No és causa del  vianant","Autobús","Dona","Passatger",41,"Ferit lleu",4584854.79,433049.96
"96",10,71,115603,"0202 0206","Dimecres",2015,"Setembre",2,7,"No és causa del  vianant","Autobús","Dona","Passatger",38,"Ferit lleu",4584854.79,433049.96
"97",10,71,115603,"0161X0161X","Dimarts",2015,"Setembre",15,6,"No és causa del  vianant","Ciclomotor","Dona","Passatger",25,"Ferit lleu",4584552.44,433325.7
"101",10,71,244800,"0025 0025","Dissabte",2015,"Desembre",12,8,"No és causa del  vianant","Motocicleta","Dona","Passatger",14,"Ferit lleu",4585590.35,433872.96
"103",10,71,701414,"020700000","Dimarts",2015,"Desembre",8,4,"No és causa del  vianant","Motocicleta","Dona","Passatger",26,"Ferit lleu",4584901.86,433010.8
"108",10,68,186703,"0111 0111","Dilluns",2015,"Agost",3,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",30,"Ferit lleu",4583361.86,432950.68
"112",10,68,75702,"0002 0002","Divendres",2015,"Gener",9,11,"No és causa del  vianant","Autobús","Dona","Passatger",94,"Ferit lleu",4583010.5,433417.89
"113",10,68,75702,"0065 0065","Divendres",2015,"Abril",17,3,"No és causa del  vianant","Autobús","Dona","Passatger",39,"Ferit lleu",4582999.35,433378.04
"114",10,68,367504,"0184 0184","Dijous",2015,"Novembre",19,5,"No és causa del  vianant","Motocicleta","Dona","Conductor",40,"Ferit lleu",4583348.06,433355.94
"120",10,68,270901,"0211 0211","Diumenge",2015,"Octubre",4,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",47,"Ferit lleu",4584045.36,433438.75
"121",10,68,115603,"0131 0131","Dijous",2015,"Juliol",2,3,"No és causa del  vianant","Bicicleta","Dona","Conductor",33,"Ferit lleu",4584362.94,433498.62
"122",10,68,144601,"0118X0118X","Diumenge",2015,"Desembre",27,8,"No és causa del  vianant","Motocicleta","Dona","Conductor",38,"Ferit lleu",4584469.72,433451.95
"123",10,68,701265,"000760000","Dijous",2015,"Desembre",10,6,"No és causa del  vianant","Turismo","Dona","Passatger",38,"Ferit lleu",4583102.38,433705.19
"127",10,68,701266,"000790000","Diumenge",2015,"Abril",19,7,"No és causa del  vianant","Turismo","Dona","Passatger",21,"Ferit lleu",4582905.96,433473.3
"129",10,68,186703,"0209 0209","Dijous",2015,"Octubre",8,8,"No és causa del  vianant","Autobús","Dona","Passatger",69,"Ferit lleu",4583905.03,433508.82
"130",10,68,270901,"0226B0226B","Dilluns",2015,"Novembre",9,12,"No és causa del  vianant","Taxi","Dona","Passatger",44,"Ferit lleu",4584017.84,433464.24
